379, 203, 457, 568, 25, 542, 488, 283, 131, 398, 798, 126, 469, 876, 492, 771, 430, 477, 605, 376, 884, 415, 276, 130, 397, 665, 125, 749, 223, 466, 656, 398, 800, 883, 973, 188, 356, 680, 617, 326, 638, 210, 860, 177, 688, 226, 373, 998, 81, 545, 791, 877, 2, 249, 308, 427, 87, 697, 135, 157, 994, 952, 317, 21, 267, 358, 164, 543, 167, 901, 279, 98, 799, 699, 972, 384, 39, 399, 686, 833, 478, 553, 873, 762, 856, 35, 676, 324, 203, 411, 686, 933, 248, 744, 961, 670, 468, 701, 510, 336
336, 203, 248, 203, 25, 324, 35, 283, 131, 39, 98, 126, 279, 167, 164, 358, 267, 21, 317, 376, 157, 135, 276, 130, 87, 308, 125, 249, 223, 2, 81, 373, 226, 177, 210, 188, 356, 326, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
188, 203, 248, 203, 25, 324, 35, 283, 131, 39, 98, 126, 279, 167, 164, 210, 267, 21, 317, 177, 157, 135, 276, 130, 87, 308, 125, 249, 223, 2, 81, 226, 326, 376, 358, 336, 356, 373, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
188, 203, 81, 203, 25, 2, 35, 125, 131, 39, 98, 126, 87, 167, 164, 130, 135, 21, 157, 177, 210, 267, 276, 226, 279, 308, 283, 249, 223, 324, 248, 317, 326, 376, 358, 336, 356, 373, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
157, 21, 81, 135, 25, 2, 35, 125, 131, 39, 98, 126, 87, 167, 164, 130, 177, 203, 188, 203, 210, 267, 276, 226, 279, 308, 283, 249, 223, 324, 248, 317, 326, 376, 358, 336, 356, 373, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
87, 21, 81, 126, 25, 2, 35, 125, 98, 39, 130, 135, 157, 167, 164, 131, 177, 203, 188, 203, 210, 267, 276, 226, 279, 308, 283, 249, 223, 324, 248, 317, 326, 376, 358, 336, 356, 373, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
35, 21, 2, 25, 39, 81, 87, 125, 98, 126, 130, 135, 157, 167, 164, 131, 177, 203, 188, 203, 210, 267, 276, 226, 279, 308, 283, 249, 223, 324, 248, 317, 326, 376, 358, 336, 356, 373, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
2, 21, 25, 35, 39, 81, 87, 125, 98, 126, 130, 135, 157, 167, 164, 131, 177, 203, 188, 203, 210, 267, 276, 226, 279, 308, 283, 249, 223, 324, 248, 317, 326, 376, 358, 336, 356, 373, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
2, 21, 25, 35, 39, 81, 87, 125, 98, 126, 130, 135, 157, 167, 164, 131, 177, 203, 188, 203, 210, 267, 276, 226, 279, 308, 283, 249, 223, 324, 248, 317, 326, 376, 358, 336, 356, 373, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
2, 21, 25, 35, 39, 81, 87, 125, 98, 126, 130, 135, 157, 167, 164, 131, 177, 203, 188, 203, 210, 267, 276, 226, 279, 308, 283, 249, 223, 324, 248, 317, 326, 376, 358, 336, 356, 373, 379, 680, 638, 973, 860, 883, 688, 800, 398, 998, 656, 545, 791, 877, 466, 749, 665, 427, 397, 697, 415, 884, 994, 952, 605, 477, 430, 771, 492, 543, 876, 901, 469, 798, 799, 699, 972, 384, 398, 399, 686, 833, 478, 553, 873, 762, 856, 488, 676, 542, 568, 411, 686, 933, 457, 744, 961, 670, 468, 701, 510, 617
